Issue_ID	Chromosome	Patch_GenBank_Accession
ZG-5549	11	na
ZG-5550	11	na
ZG-5551	11	na
ZG-5959	11	na
ZG-5961	11	na
ZG-5962	11	na
ZG-5963	11	na
ZG-5964	11	na
ZG-5965	11	na
ZG-5966	11	na
ZG-5969	11	na
ZG-5970	11	na
ZG-5971	11	na
ZG-5973	11	na
ZG-5974	11	na
ZG-5975	11	na
ZG-5984	11	na
ZG-5988	11	na
ZG-6017	11	na
ZG-6018	11	na
ZG-6019	11	na
ZG-6020	11	na
ZG-6021	11	na
ZG-6022	11	na
ZG-6023	11	na
ZG-6024	11	na
ZG-6029	11	na
ZG-6030	11	na
ZG-6032	11	na
ZG-6034	11	na
ZG-6036	11	na
ZG-6374	11	na
ZG-6438	11	na
ZG-6440	11	na
ZG-6441	11	na
ZG-6444	11	na
ZG-6447	11	na
ZG-6448	11	na
ZG-6449	11	na
ZG-6450	11	na
ZG-6451	11	na
ZG-6452	11	na
ZG-6453	11	na
ZG-6454	11	na
ZG-6455	11	na
ZG-6456	11	na
ZG-6457	11	na
ZG-7019	11	na
ZG-7020	11	na
ZG-7025	11	na
ZG-7032	11	na
ZG-2728	12	na
ZG-2729	12	na
ZG-2730	12	na
ZG-3140	12	na
ZG-3144	12	na
ZG-3145	12	na
ZG-3146	12	na
ZG-3151	12	na
ZG-3152	12	na
ZG-3154	12	na
ZG-3155	12	na
ZG-3156	12	na
ZG-3209	12	na
ZG-3210	12	na
ZG-3211	12	na
ZG-3212	12	na
ZG-3213	12	na
ZG-3214	12	na
ZG-3223	12	na
ZG-3224	12	na
ZG-3225	12	na
ZG-3226	12	na
ZG-3227	12	na
ZG-3228	12	na
ZG-3229	12	na
ZG-3230	12	na
ZG-3231	12	na
ZG-3232	12	na
ZG-3233	12	na
ZG-3234	12	na
ZG-3235	12	na
ZG-3236	12	na
ZG-3237	12	na
ZG-3238	12	na
ZG-3239	12	na
ZG-3272	12	na
ZG-3275	12	na
ZG-3276	12	na
ZG-3278	12	na
ZG-3279	12	na
ZG-3280	12	na
ZG-3281	12	na
ZG-3292	12	na
ZG-3293	12	na
ZG-3295	12	na
ZG-3299	12	na
ZG-3300	12	na
ZG-3301	12	na
ZG-3302	12	na
ZG-3340	12	na
ZG-3341	12	na
ZG-3342	12	na
ZG-3343	12	na
ZG-3347	12	na
ZG-3351	12	na
ZG-3353	12	na
ZG-3828	12	na
ZG-3829	12	na
ZG-3830	12	na
ZG-3831	12	na
ZG-3832	12	na
ZG-3833	12	na
ZG-3834	12	na
ZG-3837	12	na
ZG-3838	12	na
ZG-3839	12	na
ZG-3840	12	na
ZG-3841	12	na
ZG-3871	12	na
ZG-3872	12	na
ZG-3874	12	na
ZG-3876	12	na
ZG-3887	12	na
ZG-3888	12	na
ZG-3889	12	na
ZG-3891	12	na
ZG-3896	12	na
ZG-3897	12	na
ZG-3898	12	na
ZG-3899	12	na
ZG-3900	12	na
ZG-3901	12	na
ZG-3902	12	na
ZG-3903	12	na
ZG-3904	12	na
ZG-3905	12	na
ZG-3906	12	na
ZG-3907	12	na
ZG-4015	12	na
ZG-4061	12	na
ZG-4292	12	na
ZG-4380	12	na
ZG-5333	12	na
ZG-5342	12	na
ZG-5373	12	na
ZG-5374	12	na
ZG-5534	12	na
ZG-5535	12	na
ZG-5633	12	na
ZG-5642	12	na
ZG-5643	12	na
ZG-5646	12	na
ZG-5660	12	na
ZG-5664	12	na
ZG-5689	12	na
ZG-5690	12	na
ZG-5691	12	na
ZG-5692	12	na
ZG-5693	12	na
ZG-5694	12	na
ZG-5695	12	na
ZG-5696	12	na
ZG-5697	12	na
ZG-5703	12	na
ZG-5704	12	na
ZG-5705	12	na
ZG-5706	12	na
ZG-5707	12	na
ZG-5710	12	na
ZG-5711	12	na
ZG-5712	12	na
ZG-5714	12	na
ZG-5718	12	na
ZG-5719	12	na
ZG-5722	12	na
ZG-5723	12	na
ZG-5725	12	na
ZG-5730	12	na
ZG-5733	12	na
ZG-5741	12	na
ZG-5908	12	na
ZG-5909	12	na
ZG-5910	12	na
ZG-5911	12	na
ZG-6118	12	na
ZG-6768	12	na
ZG-6769	12	na
ZG-6770	12	na
ZG-6771	12	na
ZG-6772	12	na
ZG-6773	12	na
ZG-6774	12	na
ZG-6775	12	na
ZG-6776	12	na
ZG-6777	12	na
ZG-6805	12	na
ZG-6806	12	na
ZG-6807	12	na
ZG-6808	12	na
ZG-6809	12	na
ZG-6810	12	na
ZG-6811	12	na
ZG-6812	12	na
ZG-6814	12	na
ZG-7026	12	na
ZG-7102	12	na
ZG-2733	13	na
ZG-2772	13	na
ZG-2891	13	na
ZG-2892	13	na
ZG-2895	13	na
ZG-2897	13	na
ZG-2898	13	na
ZG-2899	13	na
ZG-2900	13	na
ZG-2901	13	na
ZG-2902	13	na
ZG-2903	13	na
ZG-2904	13	na
ZG-2905	13	na
ZG-3978	13	na
ZG-4008	13	na
ZG-4072	13	na
ZG-4537	13	na
ZG-4553	13	na
ZG-4651	13	na
ZG-4862	13	na
ZG-4863	13	na
ZG-4864	13	na
ZG-4865	13	na
ZG-4866	13	na
ZG-4867	13	na
ZG-4868	13	na
ZG-4869	13	na
ZG-4870	13	na
ZG-4871	13	na
ZG-4872	13	na
ZG-4873	13	na
ZG-4874	13	na
ZG-4875	13	na
ZG-4876	13	na
ZG-4877	13	na
ZG-4879	13	na
ZG-4889	13	na
ZG-4908	13	na
ZG-4939	13	na
ZG-4946	13	na
ZG-5007	13	na
ZG-5008	13	na
ZG-5009	13	na
